Date,source,Author,Twitter.Retweet,Twitter.Followers,Twitter.Following,Hashtags,in_reply_to_screen_name,in_reply_to_user_id,reply_count,favorite_count,user_location,user_verified,user_listed_count,user_favourites_count,user_geo_enabled,Snippet
4/7/2019 11:45,Twitter for Android,HRC4Pinellas,0,5158,3129,"[{'text': 'Republican', 'indices': [0, 11]}, {'text': 'Obstruction', 'indices': [12, 24]}, {'text': 'Felons', 'indices': [33, 40]}, {'text': 'Voting', 'indices': [41, 48]}, {'text': 'Amendment4', 'indices': [68, 79]}]",,,NULL,0,"Tampa Bay, FL",FALSE,23,3946,FALSE,#Republican #Obstruction Against #Felons #Voting &amp; Disregard of #Amendment4 To FL Constitution Will Lead To...
4/7/2019 11:41,Twitter for iPhone,LydiaHarvey,30,993,1485,[],,,NULL,0,,TRUE,61,10683,TRUE,RT @markkatches: The @TBLightning just matched the all-time @NHL record for wins. And the fun is just starting. The @TB_Times will publish…
4/7/2019 11:34,Twitter for iPhone,kettlebell1951,0,70,375,[],,,NULL,0,,FALSE,0,885,FALSE,Bufo toad kills another Florida dog as poisonous invader leaps north - Orlando Sentinel
4/7/2019 11:27,Facebook,BokorTheBroker,0,715,617,[],,,NULL,0,"Bokor Realty Group, LLC",FALSE,39,498,TRUE,"Sprouts to build stores in New Tampa, Seminole - Tampa Bay Business Journal"
4/7/2019 11:25,dlvr.it,Tampa_NC,0,386,43,[],,,NULL,0,"Tampa, FL",FALSE,25,0,FALSE,Tampa News Suspected rhino poacher is killed by an elephant and then eaten by lions in South Africa - CNN…
4/7/2019 11:21,Twitter Web App,P1AceDetailing,0,31,172,[],,,NULL,0,,FALSE,1,617,TRUE,Massive 17-foot python with 73 eggs captured in South Florida preserve - FOX 13 Tampa Bay
4/7/2019 11:08,Twitter for iPhone,ClarkinKelly,31,116,57,[],,,NULL,0,,FALSE,1,42769,TRUE,"RT @TBLightning: We’ll open our First Round series against Columbus at home at @amaliearena on Wednesday, April 10! See ya there. ⚡️ #Stan…"
4/7/2019 11:08,Switzerland News,Switzerland,0,40362,4,[],,,NULL,0,"Switzerland, Europe",FALSE,406,0,FALSE,"Hockey sur glace: Un record pour Tampa Bay, 100 points pour Hischier - News Sports: Hockey."
4/7/2019 11:05,Twitter for iPhone,tmac0201,30,900,452,[],,,NULL,0,"St Petersburg, FL",FALSE,39,14867,TRUE,RT @markkatches: The @TBLightning just matched the all-time @NHL record for wins. And the fun is just starting. The @TB_Times will publish…
4/7/2019 11:00,trueAnthem,TBBJnewsroom,0,52668,2827,[],,,NULL,0,"Tampa Bay, Florida",FALSE,1002,3452,TRUE,Tampa council concerns about e-scooter safety delay program rollout
4/7/2019 10:59,Twitter Web App,JenniferXyooj,31,83,96,[],,,NULL,0,,FALSE,8,17684,FALSE,"RT @TBLightning: We’ll open our First Round series against Columbus at home at @amaliearena on Wednesday, April 10! See ya there. ⚡️ #Stan…"
4/7/2019 10:58,IFTTT,AccurateDrivers,0,91,103,[],,,NULL,0,"Durham Region, ON",FALSE,7,20,FALSE,"Teen killed, driver arrested after packed SUV crashes in North Port - FOX 13 News, Tampa Bay"
4/7/2019 10:55,Twitter for iPhone,ElizabethEv,27,2958,2009,[],,,NULL,0,South Boston + The Cape,FALSE,154,10356,TRUE,"RT @NHLBruins: ""Obviously that's the best time of the year to play hockey. You're playing for something special."" 📝 B's looking forward to…"
4/7/2019 10:53,Twitter Web Client,BokorTheBroker,0,715,617,[],,,NULL,0,"Bokor Realty Group, LLC",FALSE,39,498,TRUE,Sprouts Farmers Market is adding two more stores in Tampa Bay via @tbbjnewsroom
4/7/2019 10:52,Facebook,BokorTheBroker,0,715,617,[],,,NULL,0,"Bokor Realty Group, LLC",FALSE,39,498,TRUE,Looks like Riverview will get a new Sprouts a mile down the road from Publix! This area is booming!
4/7/2019 10:52,SocialNewsDesk,BN9,0,372245,333,[],,,NULL,4,Tampa Bay area,TRUE,1745,1154,TRUE,It's Notre Dame vs. Baylor for the title tonight at Amalie Arena. Who ya got?
4/7/2019 10:46,Twitter for iPhone,KyIeTownsend,30,681,449,[],,,NULL,0,"Land O' Lakes, FL",FALSE,9,8064,TRUE,RT @markkatches: The @TBLightning just matched the all-time @NHL record for wins. And the fun is just starting. The @TB_Times will publish…
4/7/2019 10:46,Twitter Web Client,bentonlee1,0,1178,1658,[],,,NULL,0,los angeles,FALSE,79,30239,TRUE,Bufo toad kills another Florida dog as poisonous invader leaps north
4/7/2019 10:45,WordPress.com,gamingsheet,0,924,566,[],,,NULL,0,United States,FALSE,10,18,FALSE,"Rotstein, Cameron Celebrate ‘Thrilling’ First Training Victories At Tampa – Horse Racing News"
4/7/2019 10:42,Twitter for iPad,Retro_ElbowDrop,0,997,346,[],,,NULL,0,"#BOSTON, MA ",FALSE,28,62941,FALSE,"The Bruins should beat Toronto and most likely advance to play Tampa, which isn’t good news."
4/7/2019 10:38,Twitter for iPhone,johnbggs,31,1808,367,[],,,NULL,0,"Trinity, FL",FALSE,11,26438,TRUE,"RT @TBLightning: We’ll open our First Round series against Columbus at home at @amaliearena on Wednesday, April 10! See ya there. ⚡️ #Stan…"
4/7/2019 10:35,WordPress.com,TRENDINGHITS1,0,106,88,[],,,NULL,0,United Kingdom,FALSE,2,0,FALSE,"Rotstein, Cameron Celebrate ‘Thrilling’ First Training Victories At Tampa – Horse Racing News"
4/7/2019 10:33,Twitter for iPad,markkatches,5,4644,238,[],,,NULL,0,"St. Petersburg, Florida",TRUE,300,5343,TRUE,"RT @scontorno: Our @TBLightning photographer @DirkShadd lugs around 50 lbs of equipment, walks 3 miles and snaps thousands of photos every…"
4/7/2019 10:31,Twitter Web Client,Malutic_Live,0,428,1452,[],,,NULL,0,"Ohio, USA",FALSE,0,408,TRUE,"Malutic Live News: Columbus Blue Jackets vs. Tampa Bay Lightning Playoff Dates, Times Announced"
4/7/2019 10:31,Twitter for iPhone,alexriveraa24,4,493,602,[],,,NULL,0,||-//,FALSE,8,29983,TRUE,"RT @BBurnsNHL: Tampa Bay swept First Round playoff opponent Columbus during the regular season, outscoring the Blue Jackets 17-3. The #Bolt…"
4/7/2019 10:30,SocialReport.com,homes4income,0,10059,10667,[],,,NULL,0,Tampa FL,FALSE,238,347,FALSE,The group has two premium properties on Anna Maria Island.
4/7/2019 10:30,SocialReport.com,RafiCastro,0,544,804,[],,,NULL,0,"Tampa, FL",FALSE,36,6,TRUE,The group has two premium properties on Anna Maria Island.
4/7/2019 10:30,SocialReport.com,RaymondBasden,0,205,439,[],,,NULL,0,Tampa,FALSE,0,67,TRUE,The group has two premium properties on Anna Maria Island.
4/7/2019 10:30,TweetDeck,tomthuang,0,4766,2525,[],,,NULL,0,"Dallas, TX",TRUE,291,3669,FALSE,"I'm excited to invite you to a community conversation at @Poynter on May 6. A panel of Tampa Bay arts leaders, mode…"
4/7/2019 10:29,SocialFlow,WFLANews,0,16757,4148,[],,,NULL,0,"Tampa, FL",FALSE,579,1616,TRUE,WFLA News:
4/7/2019 10:25,Twitter for iPhone,carleneschwartz,3,310,163,[],,,NULL,0,,FALSE,3,63,FALSE,"RT @PGRCareers: We’re excited to share the news! For the 10th year in a row, we’ve been named to Tampa Bay Times’ Top Workplace list. https…"
4/7/2019 10:23,Twitter for iPhone,T0Ri_R,31,292,587,[],,,NULL,0,ATL ➡️ TAMPA,FALSE,6,7267,TRUE,"RT @TBLightning: We’ll open our First Round series against Columbus at home at @amaliearena on Wednesday, April 10! See ya there. ⚡️ #Stan…"
4/7/2019 10:22,MLBNewsNow,MLB_News247,0,475,327,[],,,NULL,0,unit,FALSE,7,0,FALSE,San Francisco Giants: Looking for Series Win vs. Tampa Bay Rays - Major League Baseball News -…
4/7/2019 10:21,Twitter for iPhone,TB_TimesCurso,0,1084,659,[],,,NULL,0,"Tampa, FL",FALSE,100,2015,TRUE,Tampa Bay Lightning will be focus of hardcover coffee table book
4/7/2019 10:19,Twitter for iPad,KyleSimon,5,1096,1530,[],,,NULL,0,"Tampa, Florida",FALSE,55,4282,TRUE,"RT @scontorno: Our @TBLightning photographer @DirkShadd lugs around 50 lbs of equipment, walks 3 miles and snaps thousands of photos every…"
4/7/2019 10:19,Twitter for iPhone,scontorno,5,5417,3119,[],,,NULL,20,"Tampa, Florida",TRUE,322,4515,TRUE,"Our @TBLightning photographer @DirkShadd lugs around 50 lbs of equipment, walks 3 miles and snaps thousands of phot…"
4/7/2019 10:19,Facebook,LarryPotter2016,0,2478,3404,"[{'text': 'Republican', 'indices': [0, 11]}, {'text': 'Obstruction', 'indices': [12, 24]}, {'text': 'Felons', 'indices': [33, 40]}, {'text': 'Voting', 'indices': [41, 48]}, {'text': 'Amendment4', 'indices': [68, 79]}]",,,NULL,0,"Tampa Bay, FL",FALSE,61,4061,FALSE,#Republican #Obstruction Against #Felons #Voting &amp; Disregard of #Amendment4 To FL Constitution Will Lead To...
4/7/2019 10:13,Twitter Web Client,awfultruth01,0,1443,802,[],,,NULL,3,United States,FALSE,1,72212,FALSE,Bufo toad kills another Florida dog as poisonous invader leaps north BEWARE Florida Pet Owners!!☹☹☹☹
