,id,Date,source,Author,Twitter.Retweet,Twitter.Followers,Twitter.Following,Hashtags,in_reply_to_screen_name,in_reply_to_user_id,reply_count,favorite_count,user_location,user_verified,user_listed_count,user_favourites_count,user_geo_enabled,Snippet
2276,1115326015025369088,2019/04/08 13:50:18,SocialReport.com,RafiCastro,0,544,804,[],,,NULL,0,"Tampa, FL",False,36,6,True,"Not a bad replacement location at all.... Fly Bar will re-open at the apex of the Grand Central block, facing Snow…"
2277,1115326007731470336,2019/04/08 13:50:16,SocialReport.com,RaymondBasden,0,205,439,[],,,NULL,0,Tampa,False,0,67,True,"Not a bad replacement location at all.... Fly Bar will re-open at the apex of the Grand Central block, facing Snow…"
2278,1115325927033057281,2019/04/08 13:49:57,Twitter for iPhone,RSBANN,11,657,588,[],,,NULL,0,"Lakeland, FL",False,4,7888,True,RT @D2SSC: Sunshine State Conference Weekly Awards for April 1st - 7th! 🌴☀️🌊 Tampa's Makaleigh Dooley and Ross Dickerson continue to m…
2279,1115324643378966529,2019/04/08 13:44:51,Facebook,scmasten,0,59,59,[],,,NULL,0,"Lakeland, Florida",False,1,3,True,"Florida Gas Prices Drop, But Another Increase Likely"
2280,1115324401325682700,2019/04/08 13:43:53,Twitter Web Client,wbannatyne,11,60,293,[],,,NULL,0,"Maitland, FL",False,0,266,False,RT @D2SSC: Sunshine State Conference Weekly Awards for April 1st - 7th! 🌴☀️🌊 Tampa's Makaleigh Dooley and Ross Dickerson continue to m…
2281,1115323368453169153,2019/04/08 13:39:47,Twitter for iPhone,thescarydoor2,1,21,208,[],,,NULL,0,,False,0,999,False,RT @TampaBayWatch: Take a look inside the Tampa Bay Watch Discovery Center at the St. Pete Pier thanks to a video by FOX 13 News - Tampa Ba…
2282,1115322788750008325,2019/04/08 13:37:29,Twitter for iPhone,KnightKalen,2,791,2665,"[{'text': 'CBJ', 'indices': [132, 136]}]",,,NULL,0,"Akron, OH",False,8,102660,False,RT @1stOhioBattery: John Tortorella needed only two words to answer whether his team is ready to take on the league-best Lightning. #CBJ ht…
2283,1115321674109419522,2019/04/08 13:33:03,Twitter for Android,RonKPaar,3,1708,652,"[{'text': 'UnlockTampaBay', 'indices': [49, 64]}]",,,NULL,0,"Dunedin, FL",False,108,9191,True,RT @VisitTampaBay: WICKED! @CageTheElephant will #UnlockTampaBay with a free show April 10 before the @TBLightning start their run through…
2284,1115321550381748224,2019/04/08 13:32:33,Twitter for iPhone,texasgregmd,0,272,179,[],,,NULL,2,"Keller, TX",False,23,270,True,"2019 All-Final Four team: Who shined brightest in Tampa Bay | Chloe Jackson, Lauren Cox, Ka…"
2285,1115321533684121601,2019/04/08 13:32:29,Twitter for iPhone,eboatstampa,3,1016,653,"[{'text': 'UnlockTampaBay', 'indices': [49, 64]}]",,,NULL,0,,False,19,1657,True,RT @VisitTampaBay: WICKED! @CageTheElephant will #UnlockTampaBay with a free show April 10 before the @TBLightning start their run through…
2286,1115321229139902465,2019/04/08 13:31:17,Facebook,CBSouthTampa,0,1559,57,[],,,NULL,2,"Tampa, FL",False,18,0,False,"Wow! ""TIA's masterplan calls for hopes to accommodate 34 million passengers in the coming years."""
2287,1115321023816241153,2019/04/08 13:30:28,Facebook,FloridaNNN,0,1853,1005,[],,,NULL,0,"Tampa, Florida",False,85,192,True,Zillow ranked the 35 largest U.S. housing markets based on where first-time buyers should have the most success mov…
2288,1115320600476704769,2019/04/08 13:28:47,Twitter for Android,DomsTheB0MB,11,495,253,[],,,NULL,0,,False,0,2425,True,RT @D2SSC: Sunshine State Conference Weekly Awards for April 1st - 7th! 🌴☀️🌊 Tampa's Makaleigh Dooley and Ross Dickerson continue to m…
2289,1115320426794586112,2019/04/08 13:28:06,Twitter for iPhone,WeAreSFJ,1,2092,1359,[],,,NULL,0,,False,94,7120,True,"RT @tomthuang: I'm excited to invite you to a community conversation at @Poynter on May 6. A panel of Tampa Bay arts leaders, moderated by…"
2290,1115320402820108289,2019/04/08 13:28:00,TweetDeck,VisitTampaBay,3,122603,3332,"[{'text': 'UnlockTampaBay', 'indices': [30, 45]}]",,,NULL,13,Tampa Bay,True,1234,17076,True,WICKED! @CageTheElephant will #UnlockTampaBay with a free show April 10 before the @TBLightning start their run thr…
2291,1115320234674618370,2019/04/08 13:27:20,Twitter Web Client,redostoneage,1,11009,7962,[],,,NULL,2,Corrupt City of Chicago,False,517,37862,True,Obama Sets New Record In Narcissism: Mentions Himself Almost 400 Times in 90-Min Speech
2292,1115320226969739264,2019/04/08 13:27:18,Facebook,GaylordHealth,0,230,225,[],,,NULL,0,"Wallingford, CT",False,13,279,True,Congratulations to the Gaylord Wolfpack for finishing second at the 2019 Disabled Hockey Festival in Tampa!
2293,1115320205759209475,2019/04/08 13:27:13,TweetDeck,ERAUBaseball,11,1697,191,[],,,NULL,0,Sliwa Stadium,False,14,1863,True,RT @D2SSC: Sunshine State Conference Weekly Awards for April 1st - 7th! 🌴☀️🌊 Tampa's Makaleigh Dooley and Ross Dickerson continue to m…
2294,1115320192727506944,2019/04/08 13:27:10,TweetDeck,ERAUAthletics,11,3069,181,[],,,NULL,0,"Daytona Beach, Fla.",False,48,1087,True,RT @D2SSC: Sunshine State Conference Weekly Awards for April 1st - 7th! 🌴☀️🌊 Tampa's Makaleigh Dooley and Ross Dickerson continue to m…
2295,1115319670062632965,2019/04/08 13:25:05,Twitter for Android,arc_tampa,1,249,2652,"[{'text': 'HAMRadio', 'indices': [93, 102]}]",,,NULL,0,"Tampa, Florida, USA",False,3,128,True,RT @TheBaconSta: The Latest Episode of ARRL Audio News is Available #HAMRadio
2296,1115319651960074241,2019/04/08 13:25:01,Twitter for Android,arc_tampa,2,249,2652,[],,,NULL,0,"Tampa, Florida, USA",False,3,128,True,RT @TheBaconSta: ARRL President Commends Amateur Radio’s Volunteer Public Service Role during National Volunteer Week
2297,1115319604899995648,2019/04/08 13:24:50,Twitter for iPhone,BellevueSchools,4,4961,281,[],,,NULL,0,"Bellevue, Nebraska",False,97,19796,False,RT @BEBellevedettes: Exciting news! Former Bellevedette Captain Miranda Serna is returning for a second season as an NFL Cheerleader for th…
2298,1115319592082079747,2019/04/08 13:24:47,Twitter for Android,arc_tampa,1,249,2652,"[{'text': 'HAMRadio', 'indices': [91, 100]}]",,,NULL,0,"Tampa, Florida, USA",False,3,128,True,RT @TheBaconSta: The May Edition of Digital QST is Now Available! #HAMRadio
2299,1115319395847249920,2019/04/08 13:24:00,TweetDeck,tomthuang,1,4766,2525,[],,,NULL,2,"Dallas, TX",True,291,3669,False,"I'm excited to invite you to a community conversation at @Poynter on May 6. A panel of Tampa Bay arts leaders, mode…"
2300,1115319335809982464,2019/04/08 13:23:45,MLBNewsNow,MLB_News247,0,475,327,[],,,NULL,0,unit,False,7,0,False,"Canzano: Hey, Tampa Bay, let me help pack up that MLB team of yours - Major League Baseball News -…"
2301,1115319128309534721,2019/04/08 13:22:56,Twitter Web Client,D2SSC,11,6933,482,[],,,NULL,31,"Melbourne, Florida",True,55,10581,True,Sunshine State Conference Weekly Awards for April 1st - 7th! 🌴☀️🌊 Tampa's Makaleigh Dooley and Ross Dickerson…
