,Date,source,Author,Twitter.Retweet,Twitter.Followers,Twitter.Following,Hashtags,in_reply_to_screen_name,in_reply_to_user_id,reply_count,favorite_count,user_location,user_verified,user_listed_count,user_favourites_count,user_geo_enabled,Snippet
,2019/04/08 16:17:53,Facebook,TampaBayGay,1,451,243,[],,,NULL,0,"Tampa, Florida",False,7,330,True,"More Pictures from Tampa Pride 2019 - March, 30, 2019 in Ybor City, Tampa. For the Latest Local LGBTQ+ Events, New…"
,2019/04/08 16:17:23,Twitter Web Client,VerraMobility,0,49188,2330,[],,,NULL,0,"Mesa, AZ",False,154,2557,True,Tampa renews red-light camera contract for five more years. New technology to fight crime coming with red light con…
,2019/04/08 16:15:12,Twitter for iPad,TheUBSoldiers,8,3281,4261,"[{'text': 'CBJ', 'indices': [103, 107]}]",,,NULL,0,"Columbus, OH",False,44,149520,False,"RT @JacketsInsider: A look back at who was on the ice today, the PLD-Texier French connection, and the #CBJ thoughts on being the underdogs…"
,2019/04/08 16:13:34,SocialNewsDesk,BN9,3,372245,333,[],,,NULL,7,Tampa Bay area,True,1745,1154,True,"According to the agenda item, @TheDali wants to add community and education space, a 150,000 square-foot parking ga…"
,2019/04/08 16:13:03,dlvr.it,Tampa_NC,0,386,43,[],,,NULL,0,"Tampa, FL",False,25,0,False,Tampa News Felicity Huffman and 12 wealthy parents plead guilty in college admissions scam - CNN…
,2019/04/08 16:10:16,Twitter for iPhone,YankeeSoprano,0,180,437,[],,,NULL,0,"New Brunswick, NJ",False,1,7465,False,Sevy was not feeling good after his long tosses yesterday in Tampa. This is not good news!
,2019/04/08 16:07:20,Facebook,playingforpower,0,214,228,[],,,NULL,0,Worldwide,False,11,7,True,Great game in Tampa before a sold out crowd. Who says women’s sports have no fans? Congrats to both teams for a gre…
,2019/04/08 16:04:10,Twitter for iPhone,home_made_man,4,929,200,"[{'text': 'HMBradio', 'indices': [19, 28]}, {'text': 'TampaBay', 'indices': [29, 38]}, {'text': 'podcast', 'indices': [39, 47]}, {'text': 'RaysUp', 'indices': [59, 66]}, {'text': 'JussieSmolett', 'indices': [82, 96]}]",,,NULL,0,"St Petersburg, FL",False,91,11228,True,RT @home_made_man: #HMBradio #TampaBay #podcast this week: #RaysUp are back &amp; #JussieSmolett walks. Brought to you by: @truvysalonspa &amp; @NT…
,2019/04/08 16:03:45,Twitter for iPhone,LeChatNoire4,0,10820,7932,[],Justio4,8.382152580828037e+17,NULL,1,Florida,False,426,102787,False,@Justio4 @ericswalwell @TomiLahren Florida news is too spread out. What happens in Tampa is not reported in Ft Laud…
,2019/04/08 15:51:50,MLBNewsNow,MLB_News247,0,475,327,[],,,NULL,1,unit,False,7,0,False,Tampa Bay Rays: Unconventional Methods Paying Dividends - Major League Baseball News -
,2019/04/08 15:43:18,IFTTT,Gander_News_e6,0,9336,8969,[],,,NULL,0,Visit the Gander News Network at:,False,49,0,False,Made in Tampa Bay: Shy Chic wooden flowers
,2019/04/08 15:41:24,Twitter Web App,PierreLuc8771,25,46,460,[],,,NULL,0,"Québec, Canada",False,0,4086,False,RT @TBLightning: We have reassigned Eddie Pasquale to the @syracusecrunch.
,2019/04/08 15:36:30,Twitter Web App,crunchhockey92,25,480,959,[],,,NULL,0,"North Syracuse, NY",False,5,11006,True,RT @TBLightning: We have reassigned Eddie Pasquale to the @syracusecrunch.
,2019/04/08 15:35:12,Twitter Web App,beckyyu,0,13,50,[],,,NULL,0,"Tampa, Florida",False,0,100,False,NFL great Vinny Testaverde selling lakefront mansion near Tampa - WFLA
,2019/04/08 15:34:45,Twitter for iPhone,E_Viola28,10,707,531,"[{'text': 'SyrCrunch', 'indices': [86, 96]}]",,,NULL,0,"Syracuse, NY ",False,11,47255,True,RT @SyracuseCrunch: The @TBLightning have reassigned goaltender Eddie Pasquale to the #SyrCrunch.
,2019/04/08 15:33:35,Twitter for iPhone,realnorty1,0,4,30,[],WBTVCamMan,28327017.0,NULL,1,,False,0,0,False,@WBTVCamMan @WBTV_News @CLTAirport Stuck on the runway in Tampa awaiting departure to CLT @ least 45 min more until next update.
,2019/04/08 15:31:36,Twitter for iPhone,SButler91717,25,53,173,[],,,NULL,0,,False,2,23605,False,RT @TBLightning: We have reassigned Eddie Pasquale to the @syracusecrunch.
,2019/04/08 15:31:13,TweetDeck,WFLA,0,141647,2327,[],,,NULL,0,"Tampa, FL",True,1485,3666,True,Tampa Bay area men rescued by Coast Guard after fishing boat sinks off coast of Naples
,2019/04/08 15:27:43,Facebook,TheNOWTeam,0,4292,2893,[],,,NULL,0,"Brandon, Florida",False,1432,1430,True,"With Fly Bar moving in, and other cool concepts in the works, Tampa's Grand Central takes shape as a neighborhood B…"
,2019/04/08 15:26:38,TweetDeck,tbbjpam,2,3480,1859,"[{'text': 'Shipping', 'indices': [18, 27]}, {'text': 'PortTampaBay', 'indices': [52, 65]}, {'text': 'Jacksonville', 'indices': [89, 102]}, {'text': 'Jaxport', 'indices': [108, 116]}]",,,NULL,0,"Tampa, Fla.",False,156,1423,False,RT @TBBJVeronica: #Shipping company slated to start #PortTampaBay service cuts ties with #Jacksonville port #Jaxport
,2019/04/08 15:25:09,IFTTT,WorldConsulting,0,4089,2163,[],,,NULL,0,"Florida, USA",False,674,2618,False,"With Fly Bar moving in, and other cool concepts in the works, Tampa's Grand Central takes shape as a neighborhood…"
,2019/04/08 15:24:12,Twitter Web Client,TBBJVeronica,2,3591,3327,"[{'text': 'Shipping', 'indices': [0, 9]}, {'text': 'PortTampaBay', 'indices': [34, 47]}, {'text': 'Jacksonville', 'indices': [71, 84]}, {'text': 'Jaxport', 'indices': [90, 98]}]",,,NULL,1,"Tampa, Florida",False,155,1241,True,#Shipping company slated to start #PortTampaBay service cuts ties with #Jacksonville port #Jaxport
,2019/04/08 15:20:10,Twitter Web Client,Tampa_Live,0,8457,58,"[{'text': 'florida', 'indices': [72, 80]}]",,,NULL,0,"Tampa, FL",False,224,57152,True,"Man hit by car then shot in Largo, police say 🔗 #florida"
,2019/04/08 15:19:12,Twitter for Android,RangerSweetie29,0,2368,2846,[],,,NULL,0,,False,41,51669,True,Sent with @NHL
